id,ClipName,URL,Start_frame,End_frame,Light1,Light2,Hit_label
1,0001_002_00_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,22750.0,22825.0,2,2,0-0-1
2,0001_002_00_02_1,https://www.youtube.com/watch?v=uho2ldovj7o,24684.0,24759.0,2,2,1-0-0
3,0001_002_01_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,27330.0,27405.0,2,1,1-0-0
4,0001_002_01_02_1,https://www.youtube.com/watch?v=uho2ldovj7o,28051.0,28126.0,2,2,0-0-1
5,0001_002_02_02_1,https://www.youtube.com/watch?v=uho2ldovj7o,34040.0,34115.0,2,2,0-0-1
6,0001_002_03_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,38708.0,38783.0,2,2,0-0-1
7,0001_002_03_02_1,https://www.youtube.com/watch?v=uho2ldovj7o,39581.0,39656.0,2,2,0-0-1
8,0001_002_04_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,51090.0,51165.0,2,2,0-0-1
9,0001_002_04_02_1,https://www.youtube.com/watch?v=uho2ldovj7o,51402.0,51477.0,2,2,0-0-1
10,0001_002_05_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,62596.0,62671.0,2,2,1-0-0
11,0001_002_05_02_1,https://www.youtube.com/watch?v=uho2ldovj7o,64323.0,64398.0,2,1,1-0-0
12,0001_002_06_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,69570.0,69645.0,2,2,0-0-1
13,0001_002_06_02_1,https://www.youtube.com/watch?v=uho2ldovj7o,71212.0,71287.0,2,2,0-0-1
14,0001_002_06_03_1,https://www.youtube.com/watch?v=uho2ldovj7o,72166.0,72241.0,2,2,0-0-1
15,0001_002_07_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,74849.0,74924.0,2,2,0-0-1
16,0001_002_07_02_1,https://www.youtube.com/watch?v=uho2ldovj7o,77356.0,77431.0,2,2,0-0-1
17,0001_002_08_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,172715.0,172790.0,2,2,1-0-0
18,0001_002_08_02_1,https://www.youtube.com/watch?v=uho2ldovj7o,173020.0,173095.0,2,2,1-0-0
19,0001_002_09_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,183781.0,183856.0,2,2,0-0-1
20,0001_002_10_01_1,https://www.youtube.com/watch?v=uho2ldovj7o,190889.0,190964.0,2,1,1-0-0
21,0001_002_10_02_1,https://www.youtube.com/watch?v=uho2ldovj7o,196308.0,196383.0,2,2,1-0-0
22,0001_002_10_03_1,https://www.youtube.com/watch?v=uho2ldovj7o,198576.0,198651.0,1,2,0-0-1
23,0001_002_10_04_1,https://www.youtube.com/watch?v=uho2ldovj7o,200878.0,200953.0,2,2,0-0-1
24,0001_002_10_05_1,https://www.youtube.com/watch?v=uho2ldovj7o,201135.0,201210.0,2,2,1-0-0
